Manufacturer;OrderDate;Brand;Category;Tyre type;Season;Stud;Run flat;Width;Ratio;Diameter;Load Index;Speed Index;Load Index;Speed Index;Pattern;Weight;OE;Marking;EAN;IPC;Energy;Grip;Rolling noise;Noise echo class;Quantity;List Price ;Net Price ;Currency;PS Account Number;PS Member Name;City
PIRELLI;201803;FORMULA;Car; ;SUMMER; ;0;155;65;14;75;T; ; ;FORMULA ENERGY;5974; ; ;8019227214031;2140300; ; ; ; ;4;55;30.25;EUR;8051195;MACERATESI GOMME SNC;SUBIACO
PIRELLI;201803;FORMULA;Car; ;SUMMER; ;0;175;65;14;82;T; ; ;FORMULA ENERGY;6842; ; ;8019227217599;2175900; ; ; ; ;12;49.5;27.51;EUR;8001333;PIERIS GOMME S.R.L.;SAN CANZIAN D'ISONZO
PIRELLI;201803;FORMULA;Car; ;SUMMER; ;0;175;65;14;82;T; ; ;FORMULA ENERGY;6842; ; ;8019227217599;2175900; ; ; ; ;2;49.5;25.58;EUR;8017820;COGO DAMIANO;MONTECCHIO MAGGIORE
PIRELLI;201803;FORMULA;Car; ;SUMMER; ;0;185;65;15;88;T; ; ;FORMULA ENERGY;7543; ; ;8019227217650;2176500; ; ; ; ;4;58;29.97;EUR;8017820;COGO DAMIANO;MONTECCHIO MAGGIORE
PIRELLI;201803;FORMULA;Car; ;SUMMER; ;0;195;50;15;82;V; ; ;FORMULA ENERGY;7408; ; ;8019227213942;2139400; ; ; ; ;4;58.5;30.23;EUR;8017820;COGO DAMIANO;MONTECCHIO MAGGIORE
PIRELLI;201803;FORMULA;Car; ;SUMMER; ;0;195;65;15;95;T; ; ;FORMULA ENERGY;8823; ; ;8019227217629;2176200; ; ; ; ;2;72.5;39.88;EUR;8052508;VILLANI SNC;CASINALBO
PIRELLI;201803;FORMULA;Car; ;WINTER; ;0;225;40;18;92;V; ; ;FORMULA WINTER;9537; ; ;8019227249798;2497900; ; ; ; ;1;216.5;62.4;EUR;8052402;FRATTINI GOMME;CESANO BOSCONE
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;165;70;14;81;T; ; ;CINTURATO ALL SEASON;6943; ; ;8019227273007;2730000; ; ; ; ;6;80.5;42.38;EUR;8001487;MOSCONI GOMME E SERVICE S.A.S;GREZZANA
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;175;65;14;82;T; ; ;CINTURATO ALL SEASON;6992; ; ;8019227352665;3526600; ; ; ; ;4;80.5;42.38;EUR;8001487;MOSCONI GOMME E SERVICE S.A.S;GREZZANA
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;175;65;14;82;T; ; ;CINTURATO ALL SEASON;6992; ; ;8019227352665;3526600; ; ; ; ;10;80.5;42.38;EUR;8004940;COMMERCIALE  PNEUMATICI  SRL;PRADAMANO
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;175;65;14;82;T; ; ;CINTURATO ALL SEASON;6992; ; ;8019227352665;3526600; ; ; ; ;4;80.5;42.38;EUR;8001762;DRAGO LORENZO GOMME & C.SNC;TAGLIO DI PO
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;175;65;15;84;H; ; ;CINTURATO ALL SEASON;6939; ; ;8019227253306;2533000; ; ; ; ;1;101;55.56;EUR;8019631;FURLANGOMME SRL;UDINE
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;175;65;15;84;H; ; ;CINTURATO ALL SEASON;6939; ; ;8019227253306;2533000; ; ; ; ;4;101;54.54;EUR;8001432;PIVA GOMME SCHIO S.R.L.;SCHIO
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;175;65;15;84;H; ; ;CINTURATO ALL SEASON;6939; ; ;8019227253306;2533000; ; ; ; ;4;101;52.63;EUR;8005347;GUGLIELMO VITTORIO SRL;ROVIGO
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;175;65;15;84;H; ; ;CINTURATO ALL SEASON PLUS;7541; ; ;8019227308990;3089900; ; ; ; ;2;101;51.17;EUR;8040786;FERRARI GOMME SNC;ROZZANO FRAZ.QUINTO DE'STAMPI
